categoria,porcentagem
Open Source,0.6230529595015576
Mobile,0.3115264797507788
Java,29.906542056074766
Software Engineering,4.984423676012461
Internet,12.77258566978193
Web Development,5.29595015576324
Miscellaneous,0.6230529595015576
Microsoft .NET,10.59190031152648
Microsoft,2.4922118380062304
Next Generation Databases,0.3115264797507788
PowerBuilder,2.1806853582554515
Client-Server,3.426791277258567
Computer Graphics,1.8691588785046729
Object-Oriented Programming,1.2461059190031152
S,0.3115264797507788
Networking,2.1806853582554515
Theory,2.1806853582554515
Programming,3.7383177570093458
Python,1.8691588785046729
Mobile Technology,1.8691588785046729
Business,3.7383177570093458
P,0.3115264797507788
XML,1.2461059190031152
Perl,1.8691588785046729
java,0.3115264797507788
Microsoft/.NET,0.3115264797507788
Miscella,0.3115264797507788
Object-Technology Programming,0.3115264797507788
internet,0.3115264797507788
.NET,0.3115264797507788
Algorithmic Art,0.3115264797507788
PHP,0.3115264797507788
SOA,0.3115264797507788
Computer Graph,0.3115264797507788
Client Server,0.3115264797507788
In Action,0.3115264797507788
Software Development,0.3115264797507788
noCategory,49.84423676012461
